WORD1 WORD2 AVG_SCORE
head foot 0.33
lady castle 0.50
protein egg 0.46
travel hitchhike 1.38
opponent chorus 0.17
club organization 5.46
chance opportunity 3.77
farmer worker 5.64
deception fraud 4.90
era time 5.31
integrity honesty 4.58
appliance refrigerator 1.50
count evaluate 3.67
share stock 3.14
week beginning 1.36
timber lumber 3.83
contract agreement 5.91
foot plant 0.42
haystack pile 5.08
galosh rubber 1.92
west direction 5.85
backpack purse 1.54
creation beginning 4.00
airplane aircraft 5.75
caravan group 3.00
refuse stop 4.00
dismiss repress 2.83
technician worker 5.29
incense odor 4.40
bug insect 5.36
gender sex 3.45
desert oasis 1.55
portion percentage 4.50
hypothesis theory 3.60
bouillon food 4.85
treasure possession 4.46
sheep herd 1.67
ask recall 1.50
land region 2.71
tow tell 0.15
retain keep 5.33
fleet navy 2.42
chuck toss 4.77
beer liquid 5.38
bandanna cloth 4.75
keep reserve 4.83
humiliate hurt 5.07
animal beast 3.40
wrestling sport 5.31
stove floor 0.23
cliff drop 2.92
crew group 5.64
dunk dip 4.38
surgeon doctor 5.18
barrel gun 1.46
green yellow 1.25
show unite 0.33
painting washer 0.40
film sun 0.31
meaning nonsense 0.73
glare reflect 3.62
change swap 5.50
refrigerator appliance 6.00
apex point 4.67
smog pollution 6.00
crossing turtle 0.18
car vehicle 6.00
put give 1.80
feature face 1.18
reader person 4.46
silver gold 0.67
strawberry food 5.46
thumb finger 4.77
chili food 5.89
puff wind 2.73
leadership ability 5.08
acknowledge admit 4.23
musk scent 5.62
wife husband 0.77
officer law 3.08
weed venom 0.22
wolf creature 5.36
radish vegetable 5.75
shape prism 1.62
shiver shake 4.60
squash game 5.45
herd group 5.54
mattress bed 2.42
delay hurry 0.27
diamond pearl 0.45
zipper pants 0.09
cuff sleeve 2.64
lane road 3.25
county country 1.15
seagull bird 6.00
toaster appliance 5.64
tortoise animal 5.92
taxi cab 3.75
technology knowledge 4.27
walrus mammal 5.90
give let 2.54
hit run 1.14
rectangle shape 5.85
group legion 2.00
dove bird 5.92
person citizen 3.10
human man 1.85
six number 6.00
data information 5.18
pork hog 2.15
present future 0.62
cup container 5.15
shell turtle 0.90
swan animal 5.85
deny repress 3.73
price worth 4.20
kangaroo animal 6.00
brown green 0.77
frustration anger 5.15
trunk oasis 0.21
pavement road 3.44
strawberry fruit 6.00
profit loss 0.11
popcorn food 5.85
gull bird 5.43
recall remember 5.23
hammer cancer 0.31
lunch food 3.69
pleasure herd 0.00
chew grind 2.46
wing bat 0.23
faculty school 2.27
disperse separate 4.27
pronoun word 5.64
toll fee 5.60
carpenter worker 5.73
point pencil 0.58
jog run 4.31
pavement street 2.69
house structure 4.82
screwdriver hammer 0.82
blame drink 0.08
olympics event 5.80
blame put 0.58
idol sword 0.29
person publisher 2.23
worker carpenter 1.36
plant animal 0.08
dusk evening 4.67
zucchini squash 4.38
biscuit cookie 3.08
intellect knowledge 3.64
caption technique 1.00
eight number 5.77
bug creature 5.38
staff school 0.45
pleasure pain 1.40
haze fog 4.70
physiology study 5.14
mole animal 5.80
gold metal 5.83
loft attic 3.15
dismiss go 2.38
view perception 4.64
hesitate wait 4.85
trench ditch 5.21
fruit cherry 0.69
stack pile 3.58
helmet protection 5.18
horn instrument 5.15
flea insect 5.69
weapon sword 1.64
lesson instruction 5.50
haystack winner 0.15
carpet rug 3.27
heel shoe 2.15
lunch violin 0.15
heel foot 1.31
suitcase bag 5.67
bouillon broth 4.27
murderer killer 5.90
appliance washer 0.69
peace truce 3.83
head body 1.69
oboe instrument 6.00
maid servant 5.29
letter character 4.54
door entrance 5.15
gravy food 5.27
hornet wasp 3.00
fingernail finger 0.90
microscope telescope 1.70
nitrogen element 5.75
weed grass 2.86
refuse deny 4.54
hate reflect 2.50
recall ask 2.40
move hustle 2.70
give send 3.92
kidney organ 5.92
headache pain 5.92
duck bird 5.75
water liquid 5.85
pier bridge 1.58
dog animal 5.77
invent make 4.29
foundation organization 4.00
flake snow 2.20
insult hurt 5.50
chorus song 2.42
chisel tool 5.85
strike blow 4.45
wall room 0.50
lamb animal 6.00
sliver piece 2.85
admit deny 0.79
silver metal 5.83
snake serpent 5.31
lizard creature 5.83
story writing 5.00
beaker cup 3.77
biology study 5.54
bowl bowling 2.31
gangster gang 1.42
governor politician 4.85
threshold edge 3.38
curve superstition 0.36
onion food 5.92
trauma condition 4.50
fiddle instrument 5.70
creature wolf 0.83
squash meaning 0.15
creation event 2.85
climax story 1.54
ascend leave 1.08
aim direct 5.00
adverb noun 1.00
sell buy 0.92
primate animal 5.00
hen chicken 5.67
flesh human 1.00
alley road 4.58
knock rap 4.00
detergent cleaner 5.42
cricket sport 5.62
bury cover 3.54
quiz test 5.23
education school 2.00
cleaner soap 1.73
horn car 0.85
erode decay 5.08
rainbow sky 0.82
foundation base 4.62
seal mammal 5.15
meatball food 5.93
lean lay 1.50
butterfly insect 5.46
speak knock 0.58
boulevard road 4.93
sunset sunrise 0.31
meaning liberty 0.67
power clay 0.33
disorder order 1.92
pitchfork mixture 0.60
migraine headache 5.15
bother tease 1.91
louse bug 4.80
shake shiver 3.27
selection process 4.30
bottle container 5.85
foresight knowledge 3.90
recreation sport 2.46
party event 5.60
erode deteriorate 4.42
instrument tuba 0.33
louse flea 2.77
tomato vegetable 1.58
slide move 5.08
vanity conceit 2.92
clerk person 5.38
parsley food 5.25
dandruff flake 4.67
fairytale story 5.92
keyboard organ 3.23
horn goat 0.60
goat kid 2.85
island land 5.43
move unload 2.17
chicken food 5.31
diamond gem 5.67
storm typhoon 2.00
boulevard street 5.17
cathedral building 5.69
pudding dessert 5.23
bugle instrument 6.00
reflection thought 5.80
deny refuse 5.15
peach fruit 6.00
road highway 2.58
director conductor 4.70
seal animal 5.82
army defense 4.00
gorilla primate 5.92
granite stone 5.90
three six 1.80
ability leadership 2.17
appliance spine 0.08
service mistake 0.33
mistake ruler 0.15
animal mammal 0.75
cat mammal 5.10
gun weapon 5.92
collect spin 0.09
book atlas 0.82
casket box 5.00
dolphin mammal 5.38
letter mail 4.91
street shrimp 0.08
vegetable tomato 1.00
argue rationalize 2.67
bassinet cradle 3.58
magnify increase 4.17
bulletin message 5.33
competence war 0.46
blackberry food 6.00
hatchet tool 5.20
celery lettuce 1.14
assignment task 5.60
breeze wind 4.92
beginning end 1.54
lime fruit 5.82
pike spike 3.42
rabbit animal 6.00
violin fiddle 3.17
mammal dolphin 0.64
guitar instrument 5.92
man primate 5.67
alley street 5.36
shrimp seafood 6.00
nun softball 0.08
egg architecture 0.33
division group 4.10
penguin animal 5.75
transplant move 5.08
strawberry blueberry 0.85
architecture water 0.00
boy kid 5.42
pyramid shape 5.62
defense offense 2.15
digit number 4.17
furniture chair 1.00
beam support 5.57
kid goat 3.91
fluid water 1.67
salesman person 5.25
mother woman 4.93
relationship relation 2.77
leave control 1.07
oven appliance 5.90
pretend dunk 0.18
barley herb 1.30
noon day 2.55
hundred number 6.00
week month 0.62
professor faculty 3.77
husband snake 0.33
robber darkness 0.86
sculpture drawing 0.69
glance stare 2.10
biology science 6.00
parent ancestor 4.20
chair furniture 6.00
evaluate reflect 4.08
swear promise 4.85
armor attic 0.08
army democracy 0.92
gander bird 4.00
glass cup 4.43
trance state 5.46
lease contract 4.92
biscuit food 5.77
outside inside 0.23
grace goodness 3.55
director supervisor 5.08
concert performance 5.69
fraud deception 5.71
brother relation 5.69
appliance dishwasher 0.90
instrument guitar 0.18
soil earth 4.10
nose face 1.00
liver organ 5.92
point score 5.00
head arrow 1.00
umbrella protection 4.40
tell testify 4.09
snooze nap 4.69
admit buy 0.27
harp instrument 5.92
ground land 4.73
reserve keep 4.09
pizza food 6.00
container flask 1.10
basketball sport 6.00
testify tell 4.58
group gang 3.40
typhoon storm 5.92
talk debate 4.00
rung ladder 1.46
princess prince 1.70
knowledge instinct 2.00
parent family 4.00
sip drink 4.92
herb food 4.00
commander leader 5.23
squad team 5.64
honey sugar 3.40
noun word 5.64
understanding knowledge 4.36
broth food 5.92
eagle bird 5.90
sandal shoe 5.80
street boulevard 2.31
wrist arm 0.09
wall department 0.40
swap change 4.17
tool screwdriver 1.08
structure architecture 3.20
peace war 0.08
graft piece 2.30
ray beam 4.91
cavity tooth 1.36
doorway entrance 5.58
jesus lord 4.08
poverty discipline 0.45
missile rocket 4.00
tow move 4.42
glove mitten 1.85
unite divide 1.00
grove group 2.15
veal food 5.38
state region 5.00
remedy cause 0.62
person cashier 1.00
poison venom 2.75
kingdom territory 5.56
assignment homework 5.00
department organization 2.90
competence capability 3.40
mom parent 5.83
father fiddle 0.31
perch roost 3.60
politician governor 2.21
selection choice 4.82
poet person 4.67
atmosphere killer 1.08
appear happen 1.46
caption heading 3.00
piano instrument 5.92
caffeine coffee 1.46
cavern cave 5.08
circle shape 6.00
catastrophe tragedy 4.71
reason intellect 4.62
craft knitting 1.82
committee group 5.10
morning intelligence 0.17
agency group 3.69
prank joke 4.77
sausage food 5.80
ivy plant 5.40
corporation business 5.38
editorial newspaper 2.00
safety insurance 2.73
unit group 4.15
component element 2.31
beverage beer 0.40
boat ship 4.20
exercise work 3.00
crew gang 3.46
furniture bed 1.58
wick candle 1.10
building construction 5.58
violin instrument 5.92
tuxedo dress 2.20
crow bird 6.00
safety danger 0.25
passage grasshopper 0.00
shrimp lobster 2.09
employment work 4.85
soil ground 4.62
ceremony funeral 1.75
clay pottery 4.00
bet wager 4.25
blossom kangaroo 0.15
bathtub bathroom 1.23
describe explain 4.30
urge tell 2.60
professor staff 4.55
develop make 4.46
cop officer 5.20
four two 0.27
blockade barrier 5.90
celery vegetable 5.83
geyser fountain 4.60
hammer tool 6.00
adjective word 5.77
softball sport 5.73
turkey meat 5.80
youth group 4.46
squash vegetable 5.77
hatchet ax 4.73
wisdom knowledge 4.85
water ice 2.08
yogurt food 5.77
supermarket grocery 2.36
loft house 2.46
fury anger 4.80
club group 4.92
peach pear 0.43
knife sword 3.10
stethoscope instrument 5.60
university school 5.77
clove plant 5.08
talent ability 3.40
mammal animal 6.00
beverage soda 0.62
flask bottle 5.30
design draw 3.38
dawn day 2.70
police authority 5.00
scramble mix 4.46
dinner food 2.91
chess game 5.62
joker card 5.55
plum pear 0.18
dinosaur creature 5.00
spike shoe 2.17
clue evidence 4.77
giggle laugh 5.18
floor ground 4.69
lung organ 5.75
human encyclopedia 0.90
nine number 5.45
game event 3.54
mother father 0.69
employee employer 0.54
raccoon animal 5.73
pickle food 5.27
puberty youth 3.58
unload move 3.73
homework work 4.92
truck vehicle 5.54
gauge sidewalk 0.67
excise tax 3.90
foot inch 2.08
bagel food 6.00
sunrise sunset 0.45
staff group 3.77
inability ability 1.73
chime bell 3.10
pecan nut 5.93
grasshopper cricket 1.73
diameter length 4.00
grape food 5.90
corn food 5.62
glass crystal 2.83
mayonnaise food 5.54
sport ax 0.09
corporal officer 4.80
throw toss 4.70
separate divide 5.15
wolf animal 5.92
caravan vehicle 5.00
ice glacier 2.15
feather bird 0.27
tin aluminum 1.57
cricket animal 3.91
violin cello 1.55
doughnut food 5.82
water air 0.50
hide develop 0.20
prism shape 4.50
knowledge foresight 2.60
umbrella ice 0.08
hammer pound 2.54
wheat cereal 4.58
crocodile animal 6.00
witch woman 3.25
judgment verdict 4.54
screwdriver tool 6.00
wool cloth 4.80
lord lady 1.30
yolk egg 1.20
clue hint 4.46
submarine ship 3.54
night day 1.42
person climber 1.80
concert event 5.73
