word1 word2 Score
stud bull 5.6
mayor person 6.67
agreement disagreement 1.97
mug cup 9.3
palace home 9.17
month year 2.18
sidewalk path 8.75
queen shower 0.45
insurance safety 5.55
volleyball sport 10.0
commercial advertisement 8.72
week year 1.03
irritate spend 0.52
frog toad 2.27
kidnap take 7.82
beer beverage 9.25
bruise wound 8.33
schedule plan 6.97
recliner furniture 9.1
cement stone 6.37
supper dinosaur 0.23
oatmeal food 10.0
draw create 8.78
bird gander 1.07
doctor surgeon 4.05
statue figure 7.17
speak scream 2.67
hour life 3.18
server waiter 7.95
camera anatomy 0.38
sphere shape 9.85
orange fruit 10.0
mouth universe 0.48
auto vehicle 2.58
trout fish 10.0
celery food 9.3
protein milk 1.9
smash crush 8.0
time space 2.67
mongoose animal 8.33
discover find 8.33
bracelet necklace 1.55
bunch group 8.2
divide obtain 1.38
science anatomy 0.75
abdomen belly 3.85
novel fiction 5.77
pan utensil 4.48
toilet bathroom 4.17
conversation communication 10.0
swallow waste 1.5
king leader 8.67
hurricane tornado 3.62
witch job 3.52
limousine vehicle 10.0
dope pot 6.67
rectangle square 3.08
adverb word 8.75
abundance scarcity 3.57
wipe rub 6.8
melody tune 9.03
advance retreat 1.67
mark sign 5.38
student pupil 9.25
juice milk 0.55
surgery vacation 0.92
cupboard closet 5.38
history jewel 0.38
path leopard 0.33
dog mammal 7.58
child family 4.55
jaw face 1.22
atlas book 8.03
sorrow father 0.28
man woman 0.6
twelve number 10.0
overwhelm defeat 4.75
ancestor father 4.17
chain bucket 0.0
doe animal 9.37
crook burglar 4.17
fungus plant 4.75
leak hole 2.5
flame pleasure 0.92
friend foe 1.32
slay kill 9.25
rooster chicken 6.83
turkey bird 9.72
package envelope 3.2
machine spice 0.45
myth mythology 5.75
flannel material 9.4
catch seize 5.0
shield armor 9.0
decline accept 1.17
person people 6.33
tunnel passage 8.58
head tail 0.3
toss throw 8.2
shake sink 0.52
bolt lock 9.17
cabin house 8.62
almanac book 9.23
cauliflower food 9.77
hundred amount 8.0
penguin bird 9.75
bath tub 5.63
smash crash 6.03
nag complain 8.85
cobbler pie 5.48
glance look 8.47
coleslaw food 9.25
soothe comfort 8.93
animal reptile 1.17
elimination process 7.5
remove move 6.15
lemon fruit 10.0
mother female 9.03
blush clarify 0.33
ham meat 9.65
reptile animal 9.87
ascend rise 7.63
therapy treatment 9.17
volleyball game 9.72
skillet pan 9.5
writing story 4.1
person idol 3.03
four number 9.48
journal notebook 6.52
banjo instrument 10.0
mate marriage 2.7
monument memorial 8.75
compass instrument 7.63
vet veteran 3.57
kitchen unit 2.95
character personality 3.97
gain burst 1.15
policeman law 4.45
victor winner 6.15
project element 0.13
lizard animal 8.68
virtue landscape 0.13
boy man 3.78
prison jail 8.97
highway road 9.67
perform sing 4.4
heart intellect 0.92
substance water 2.12
mass ceremony 8.22
story tale 8.93
mistake error 8.5
skyscraper meeting 0.45
soil shower 0.33
defeat renounce 2.08
diamond crystal 6.53
puppy animal 8.83
screwdriver ghost 0.13
rib animal 0.35
bulletin news 7.18
anisette alcohol 5.38
maximum limit 6.37
chili pepper 8.33
pike fish 8.72
potato vegetable 8.97
nightgown underwear 4.65
meter unit 8.17
ruby crystal 7.5
weapon gun 3.62
food sausage 1.92
vehicle car 1.53
pocketbook wallet 5.28
subtraction addition 1.53
limp walk 7.33
medication treatment 8.05
helmet pocket 0.67
bucket container 10.0
chip computer 2.67
run jump 1.18
operation spirit 0.25
brother fraternity 3.08
coffee milk 0.45
blackberry fruit 9.7
bog marsh 7.4
leopard tiger 1.15
hip joint 7.82
write talk 2.63
hood cap 2.83
fish valve 0.0
point sword 0.75
evaluate judge 7.27
officer corporal 1.22
toss pause 0.13
goose turkey 0.77
balance account 3.47
spoon fork 1.38
robber outlaw 8.63
painter artist 9.62
meal pen 0.17
shovel pail 0.55
mixture variety 8.2
politics government 3.52
sing perform 8.72
blue color 9.83
bishop king 2.18
breast turkey 1.8
marriage status 8.33
save crash 0.72
girl child 8.88
lamp table 0.15
twister storm 7.57
rabbit food 5.83
vault summit 1.32
cookie food 9.88
nun monk 4.82
anteater animal 9.77
flask container 9.37
mission duty 7.4
maple tree 9.7
dawn sunset 0.9
wag move 6.8
bean food 9.72
drawing painting 3.33
ability strength 5.38
aunt planet 0.13
earnestness sincerity 6.9
clerk calculus 1.07
vehicle truck 1.22
prisoner captive 8.33
olive food 9.58
flu illness 9.67
store shop 6.67
tree wood 5.6
square rectangle 5.0
tusk elephant 2.5
mob group 8.63
dishwasher appliance 9.48
wasp bee 3.68
sob cry 9.27
mushroom fungus 8.88
sirloin meat 8.33
ax tool 8.85
squeeze hold 8.33
alligator reptile 9.37
couch sofa 7.17
wed marry 8.18
smear smudge 8.33
woman heroine 2.92
sorrow joy 1.0
advise talk 7.78
group party 2.78
feast gathering 7.33
shark fish 9.67
cherry grape 1.03
elevator building 1.03
school education 7.92
water puddle 3.33
lake water 8.48
ecstasy feeling 9.0
go dismiss 2.38
king ruler 8.75
deny forget 2.5
mile inch 0.9
silence sound 4.83
porch house 1.8
party group 7.82
stool beginning 0.17
forget deny 2.7
crab seafood 10.0
elbow arm 2.05
work homework 3.2
blow pop 3.67
accept allow 5.92
copper wallet 0.25
product harbor 0.63
chain bond 7.08
barracuda fish 9.55
refrigerator ball 0.17
fungus kindness 0.25
zero number 9.7
guide book 7.73
blade knife 5.52
pill drug 6.92
toenail toe 1.28
family home 3.75
kiwi fruit 10.0
point needle 1.37
hero villain 1.33
shirt microscope 0.25
dinner drawer 0.0
pillow padding 6.95
drift move 8.58
executive person 8.18
focus attention 8.18
forehead face 2.57
darkness flannel 0.38
tractor vehicle 9.37
tease bother 7.37
jet plane 8.75
mousse food 8.97
vow pledge 8.2
fortune wealth 5.33
reap get 7.18
talk address 6.67
launch send 6.07
silk satin 3.33
turn differ 4.5
day week 1.25
paradise heaven 7.58
purchase buy 7.42
killer murderer 8.33
trigger gun 0.95
nail claw 6.33
attach connect 9.52
sum total 8.2
screw nail 2.17
reptile alligator 0.33
bean vegetable 7.15
officer police 6.38
charm appeal 8.88
atlas encyclopedia 7.67
history study 7.63
pitcher container 8.47
magazine book 4.82
sell acknowledge 1.07
duty service 4.48
pelt throw 7.78
wing airplane 1.03
biscuit citrus 0.38
semester hour 0.75
executive chief 9.0
tennis activity 9.03
citizen person 8.63
pedal bicycle 1.95
duty obligation 8.18
conclusion beginning 0.38
fad trend 8.0
smear wipe 6.83
writer poet 3.88
tooth saw 3.08
mattress addition 0.17
ritual custom 7.43
gas automobile 2.0
twilight wealth 0.3
marriage needle 0.13
sit stand 0.92
sight sense 9.88
trunk car 0.72
olive pickle 1.67
thought belief 5.13
father mother 1.28
club fraternity 3.47
digger miner 6.53
misery sorrow 8.2
deteriorate decay 7.7
symphony music 8.5
mammal cat 1.15
journal book 8.33
oak wood 9.23
drawer desk 1.03
excuse pardon 6.33
competition calculator 1.95
tenor loser 0.17
home location 9.0
homework assignment 8.67
stair stairway 2.82
soap cleaner 9.08
punch hit 8.08
come leave 1.53
curve road 2.43
jazz music 9.62
chemist scientist 7.57
shock reaction 9.87
hamburger food 9.75
attack assault 7.95
worker mason 2.95
burglar crook 9.17
penny coin 9.55
destiny dress 0.25
oregano food 5.97
cobra snake 9.08
prince captain 1.48
geology thought 2.3
customer person 9.08
measure gallon 1.37
stalk stem 6.67
attorney lawyer 7.57
gravity force 9.5
hammock bed 8.33
aspirin drug 9.87
conference meeting 9.23
boyfriend girlfriend 1.32
tuba instrument 9.75
feeling jealousy 2.42
bourbon alcohol 9.48
statement thesis 5.25
turnip plant 8.05
patience impatience 4.05
verdict judgment 9.67
metal society 0.17
cauliflower broccoli 0.15
goose animal 9.75
noun verb 0.0
orange tree 4.7
lock door 1.12
fame glory 7.92
enemy opponent 8.67
spy agent 8.0
grasp crunch 1.67
cloud sky 2.05
disallow smear 0.83
move evict 4.1
cherry fruit 9.87
anarchy disorder 6.92
stream oxygen 0.77
hearing sight 1.67
expert professional 6.03
schedule list 7.37
snatch catch 5.52
prune fruit 8.5
ascend climb 7.3
section unit 6.0
trumpet instrument 9.87
wife art 0.38
heroine woman 8.08
milk butter 2.18
sight vision 7.22
lounge sit 7.17
dagger knife 9.63
snack food 7.78
ancestor parent 6.17
drawer bureau 2.18
sprinkle pour 3.72
thesaurus book 9.1
construct make 8.33
coat fireplace 0.48
liberty freedom 6.82
assume think 7.3
gin liquor 9.75
trombone instrument 9.83
gallon measure 9.7
break crunch 6.25
drawing sketch 6.17
hand arm 0.15
stud horse 5.77
leadership layer 0.45
grandma grandparent 10.0
globe sphere 8.47
pipe organ 5.0
debate talk 7.82
hypothesis idea 8.47
elm oak 2.5
acknowledge accept 5.83
queen royalty 9.88
jungle forest 7.92
solution mixture 6.52
bed furniture 9.75
suggest say 6.25
lava rock 5.12
dime penny 2.57
vest sweater 5.83
saxophone instrument 10.0
sight perception 8.08
potato tomato 0.3
nightmare dream 9.58
treatment medication 3.62
hobby activity 7.12
yarn thread 7.7
shame disgrace 7.22
recreation activity 7.12
submarine vessel 8.58
stool toilet 1.67
death end 8.33
bat animal 9.52
control experiment 4.37
marry join 5.92
sapphire gem 9.87
touch pat 6.22
separate detach 7.37
fabric cotton 2.27
person speaker 4.17
stone jewelry 4.48
clam mussel 5.63
inspect examine 7.58
cradle crib 8.33
manner style 4.23
galaxy universe 3.72
graph chart 8.33
colt gun 7.43
south direction 9.33
move tow 3.47
maid girl 5.95
vocabulary language 2.63
overwhelm overcome 4.75
obstacle impediment 8.33
mascara lipstick 1.18
twilight evening 6.53
scream speak 6.15
hazard risk 6.38
glacier iceberg 6.5
conference group 6.8
professional amateur 0.38
disbelief belief 5.0
person guest 2.88
beat defeat 7.7
vessel vehicle 6.38
elect pick 8.72
warehouse storage 7.95
science discipline 7.0
soda beverage 9.52
act drama 6.03
contact lens 6.53
manufacturer creator 8.62
chain bandage 0.72
suppose guess 6.8
steel blade 4.67
rice food 10.0
circle line 3.67
restaurant diner 3.08
create build 6.28
brain motion 0.13
forget diminish 2.12
ointment cure 6.15
blast explosion 8.33
grab take 7.5
anxiety feeling 9.88
decay deteriorate 7.82
climber person 5.0
procedure tear 0.13
assume presume 5.45
stink smell 7.5
cricket game 8.33
war conflict 8.48
professional professor 3.63
argument conflict 8.2
crest peak 5.97
snail courage 0.25
buggy vehicle 8.2
stew cook 9.28
baseball game 10.0
gorilla ape 8.78
medicine drug 6.38
reaction effect 7.95
chemistry knife 0.83
speech language 6.12
animal message 0.3
perform talk 3.0
saw tool 9.87
carrot food 9.82
traitor thief 2.63
cotton wool 4.0
body corpse 3.75
knit weave 6.53
professional expert 6.37
maroon color 9.83
existence being 7.82
decompose decay 8.88
knife dagger 4.87
knitting craft 9.67
cotton fabric 9.4
sorority organization 7.95
wife ring 0.17
cloak coat 8.68
pollution boat 0.33
flute instrument 10.0
medium television 2.22
engine train 2.92
inmate convict 8.75
unite join 8.0
whale mammal 9.62
make build 8.48
goal success 6.67
barrier wall 7.73
analysis study 7.0
news information 9.1
wound injury 9.1
bunny rabbit 6.52
animal container 0.5
homework instruction 3.2
venom poison 7.92
address talk 5.38
union group 9.45
closet room 6.53
river lord 0.17
bumper car 2.37
task job 6.15
mussel scallop 4.75
crossing road 3.47
deny reject 6.53
baseball sport 9.75
navigator sailor 7.0
funeral ceremony 9.33
foresight wisdom 6.92
understand evaluate 3.97
reach construct 0.67
lemon citrus 9.4
swimmer runner 0.97
soil dirt 7.7
dinosaur animal 8.2
back shoulder 2.82
reduce shrink 6.37
scoop shovel 6.97
calculus lettuce 1.12
waitress server 9.48
detail point 3.88
water fluid 10.0
sketch drawing 8.5
tutu skirt 7.0
bread food 9.03
bride gathering 0.55
destroy kill 6.53
author writer 8.33
tangerine fruit 9.5
victor loser 0.97
eyebrow face 0.48
ruler emperor 4.28
trim fit 5.25
animal rat 0.0
panel board 7.7
inch measure 8.93
pope leader 8.7
reprimand scold 8.33
prism pyramid 5.63
pony horse 7.92
attention focus 8.5
erode tease 1.67
sandwich meal 7.18
mosquito wisdom 0.63
lily plant 9.4
neighborhood area 8.48
darkness light 1.5
legislature legion 0.77
methodist baptist 4.23
bed bedroom 0.3
snake reptile 9.25
emperor ruler 9.1
recycle waste 1.5
company organization 9.17
shine glow 6.52
site location 7.18
seal kite 0.13
car train 2.78
jar container 9.17
time era 4.7
banquet party 8.93
spinach vegetable 10.0
vanilla flavor 9.48
tow pull 8.63
porpoise whale 1.8
panther cat 9.5
quill fleet 0.63
caffeine tea 1.92
divide add 1.38
observe tan 0.15
caffeine problem 3.47
owl animal 10.0
message note 6.07
oat cereal 8.48
decay erode 7.33
pie food 9.0
radio medium 5.9
scene picture 6.0
wave motion 7.22
burst erupt 7.0
mix integrate 7.95
foe adversary 8.1
hail rain 6.52
dolphin oxygen 0.23
car limousine 1.95
niece son 0.42
curb side 5.25
sport recreation 9.33
pavement sidewalk 6.92
step stairway 5.95
easter holiday 9.75
shatter break 8.58
twelve dozen 8.33
keep give 0.63
job activity 7.95
guest person 7.22
golf game 8.33
incense aroma 7.88
rum alcohol 9.37
threshold door 3.33
fork fashion 0.42
wing skin 1.0
freezer refrigerator 3.58
steak food 9.75
portrait picture 9.83
lodge home 8.75
dish food 1.92
hobby interest 8.03
king queen 0.72
oxygen water 0.77
opponent adversary 8.08
smother kill 7.33
square circle 0.7
spouse marriage 2.3
differ agree 1.28
deck ship 0.52
creator artist 4.65
finger thumb 1.07
earth matter 7.05
take have 3.62
macaroni food 9.08
shelf cabinet 2.18
medicine tablet 1.8
search examine 6.92
letter writing 3.93
response question 1.28
rock boulder 3.33
evidence answer 5.52
rent payment 7.58
priest rabbi 3.48
pail bucket 6.67
squash food 9.45
chief executive 6.97
graduation ceremony 9.67
zucchini food 9.85
destiny stream 0.63
lace shoe 1.8
bit portion 6.37
theft crime 9.87
lip tongue 0.67
cancer disease 9.87
calf animal 8.97
reappear show 5.63
war anatomy 1.12
reflect think 7.78
mitten glove 6.8
treatment therapy 4.1
appliance oven 1.33
mist cloud 5.63
wife woman 7.62
anatomy science 9.17
girl person 9.85
mud dirt 7.95
ascent descent 1.67
copper bronze 1.67
gravel stone 8.33
formula baker 0.92
doll toy 9.88
gene chromosome 4.1
building skyscraper 3.97
cashier person 7.43
alley way 6.42
jar bottle 5.13
group staff 3.88
artist creator 9.48
senate congress 4.37
orchid plant 9.08
chain bicycle 1.18
outline sketch 7.5
periscope submarine 2.33
rat animal 10.0
attack remove 1.9
instrument trumpet 2.73
champagne wine 7.33
frog animal 9.87
square shape 9.17
look stretch 1.43
wallet briefcase 1.67
singer evidence 0.0
joy sorrow 1.15
citrus tree 5.7
flour bread 0.42
stag deer 7.7
formula equation 6.03
trip journey 8.88
saucer dish 8.33
hope despair 0.28
monopoly game 9.7
clarify explain 8.2
picture television 1.07
presume think 6.85
feed starve 0.83
employee worker 9.85
competition race 2.95
antidote medicine 7.95
sphere globe 5.45
citizen salesman 1.92
elbow joint 7.18
competition contest 8.17
whisper talk 9.17
book encyclopedia 2.22
cast show 3.0
amateur heaven 0.6
barley food 9.67
separate split 6.78
parent relation 9.27
change persuade 4.72
prom party 9.03
seat throne 5.95
uncle aunt 0.28
fox animal 9.87
accelerate admit 0.38
groom wedding 2.12
mink animal 9.17
worker technician 5.17
calculus trigonometry 1.28
crib treatment 0.52
creature bug 3.72
architecture structure 5.83
reach increase 3.45
vault bank 4.45
furniture recliner 2.73
blaze flame 4.17
grasp hold 9.05
weight quantity 7.43
phone device 9.23
beard goat 1.53
rose plant 9.75
rationalize argue 5.13
human mammal 9.83
racquetball sport 9.03
pour spill 3.47
bother count 0.63
spine backbone 7.73
cook stew 2.3
organ kidney 1.95
poem writing 9.45
stage robber 0.33
quail animal 9.1
extremity leg 3.47
blame accuse 7.58
glide float 5.18
move stay 0.52
gander goose 5.28
writing poem 2.27
take snatch 7.58
pile haystack 2.27
rear front 0.97
protein meat 1.97
opinion thought 7.62
pitchfork tool 9.17
engagement commitment 8.88
bread sandwich 2.18
sandwich food 10.0
hum whistle 1.9
chamber cell 5.0
tree plant 8.63
boulder rock 9.17
arithmetic math 8.5
weed plant 9.23
geology science 9.0
custard food 9.65
homework project 5.6
way direction 6.67
demand request 6.52
foot leg 1.95
meal supper 2.95
liver heart 0.55
stir turn 4.77
wing bird 1.15
tease annoy 7.7
accelerate build 0.95
head pin 1.8
wing angel 1.12
mechanic worker 9.55
protection helmet 2.5
line ointment 0.25
reminiscence memory 6.82
religion belief 7.63
gauze bandage 8.17
game chess 2.82
overwhelm upset 6.07
problem difficulty 7.08
cat animal 10.0
purse handbag 9.3
organization foundation 4.23
guilt innocence 0.75
drawer dresser 3.47
nomad person 8.63
couple pair 9.08
winter summer 0.92
cake food 9.7
sidewalk walkway 8.47
elect select 7.92
feeling empathy 2.42
fig date 4.17
cannon gun 6.52
recommend tell 6.53
publisher person 6.03
parent child 2.33
superstition belief 6.92
water substance 7.58
jury court 3.0
decade era 7.85
jesus god 5.83
shrub bush 8.2
seafood mussel 1.0
fear tenor 0.28
crowd group 8.57
gallon pint 1.95
person proprietor 3.72
squad group 8.33
beg sip 0.75
tool shovel 2.57
tissue skin 4.37
saber sword 9.0
cactus plant 9.58
cattle herd 6.07
poetry prose 6.07
pinch touch 8.08
sword weapon 9.48
tornado storm 7.5
destroy taste 0.33
wealth poverty 0.72
sardine food 9.5
necklace bracelet 0.95
fade diminish 8.33
sincerity honesty 7.98
mushroom food 9.07
blush tan 0.7
collect obtain 8.33
fluid keyboard 0.0
cone shape 9.72
servant slave 5.0
cougar cat 8.97
build break 1.07
destiny fate 7.15
circumstance situation 6.42
hat cap 6.67
run control 4.85
shell husk 4.48
head foot 0.55
vacation holiday 8.5
walnut tree 6.42
brand type 5.72
dungeon cell 6.53
tree forest 0.83
paper material 9.3
happiness emotion 9.83
picture painting 3.78
kitchen bedroom 1.32
chest trunk 5.75
boy child 9.62
vest shirt 6.0
capture seize 9.17
chalk crayon 1.28
lady castle 0.83
protein egg 0.77
travel hitchhike 2.3
opponent chorus 0.28
building cathedral 0.63
grab touch 7.17
glow shine 7.78
club organization 9.1
medication saxophone 0.0
nucleus atom 1.92
princess status 7.73
plaything toy 5.67
chance opportunity 6.28
farmer worker 9.4
deception fraud 8.17
butcher baker 0.83
remove unload 6.95
era time 8.85
integrity honesty 7.63
painting art 9.58
street way 5.48
protect defend 7.83
appliance refrigerator 2.5
count evaluate 6.12
nitrogen hydrogen 0.33
share stock 5.23
week beginning 2.27
flower orchid 3.58
timber lumber 6.38
contract agreement 9.85
foot plant 0.7
hockey sentence 1.18
haystack pile 8.47
galosh rubber 3.2
performance seat 0.15
west direction 9.75
ounce measure 9.45
backpack purse 2.57
creation beginning 6.67
airplane aircraft 9.58
caravan group 5.0
refuse stop 6.67
dismiss repress 4.72
technician worker 8.82
develop learn 5.28
incense odor 7.33
mouse animal 9.52
bug insect 8.93
pal buddy 8.33
gender sex 5.75
desert oasis 2.58
portion percentage 7.5
cook burn 3.82
spot mark 8.15
model example 5.0
hypothesis theory 6.0
bouillon food 8.08
treasure possession 7.43
sheep herd 2.78
ask recall 2.5
knuckle finger 2.82
land region 4.52
tow tell 0.25
observe stop 0.83
retain keep 8.88
fleet navy 4.03
chuck toss 7.95
beer liquid 8.97
bandanna cloth 7.92
keep reserve 8.05
crevice space 6.82
humiliate hurt 8.45
myth fiction 8.58
animal beast 5.67
hamburger bird 0.15
credit blackberry 0.15
wrestling sport 8.85
stove floor 0.38
cliff drop 4.87
green blue 1.22
perfume deodorant 4.4
tail water 0.52
crew group 9.4
purse waiter 0.38
dunk dip 7.3
sit lie 2.02
arm extremity 7.27
criticize remark 8.33
cathedral injury 0.13
pepper salt 1.32
surgeon doctor 8.63
barrel gun 2.43
mouse rat 2.22
suggest tell 6.85
section part 5.13
green yellow 2.08
paddle oar 5.25
show unite 0.55
omelet food 9.75
painting washer 0.67
film sun 0.52
meaning nonsense 1.22
recommend advise 6.67
charity kindness 8.5
shape sphere 2.57
glare reflect 6.03
change swap 9.17
detach attach 1.67
erupt burst 6.67
marry unite 8.2
refrigerator appliance 10.0
bucket barrel 3.57
apex point 7.78
smog pollution 10.0
pistol gun 9.87
crossing turtle 0.3
pastry dough 5.0
car vehicle 10.0
vision perception 3.82
sister sorority 1.78
marriage ritual 7.18
elephant lecture 0.28
pat touch 8.93
pause break 8.17
put give 3.0
feature face 1.97
flip defend 0.38
tennis recreation 7.82
receive obtain 8.78
reader person 7.43
silver gold 1.12
strawberry food 9.1
tip point 5.92
suede leather 7.27
math science 6.03
lipstick class 0.35
duty task 5.0
thumb finger 7.95
fire water 0.33
chili food 9.82
answer question 1.37
hurricane storm 9.4
breast chest 5.33
puff wind 4.55
symptom pain 2.12
leadership ability 8.47
address stand 2.37
bone tissue 2.05
gun rifle 3.78
failure success 2.43
shape triangle 1.28
acknowledge admit 7.05
musk scent 9.37
wife husband 1.28
officer law 5.13
weed venom 0.37
wolf creature 8.93
hypothesis pool 0.6
ring jewelry 10.0
radish vegetable 9.58
quotient amount 7.37
shape prism 2.7
shiver shake 7.67
squash game 9.08
whale cave 0.17
herd group 9.23
mattress bed 4.03
delay hurry 0.45
diamond pearl 0.75
way path 7.78
look evaluate 7.5
amateur expert 1.42
zipper pants 0.15
cuff sleeve 4.4
lane road 5.42
ant insect 10.0
county country 1.92
daughter female 8.0
eyeball eye 3.62
dictator ruler 9.87
seagull bird 10.0
toaster appliance 9.4
get recruit 5.3
son daughter 1.52
restroom communication 0.23
tortoise animal 9.87
help add 1.3
taxi cab 6.25
kite bird 4.87
garlic onion 2.73
insect mosquito 1.8
technology knowledge 7.12
beef cow 2.18
light aura 4.45
limousine car 9.88
walrus mammal 9.83
give let 4.23
fabric silk 2.05
do be 2.92
hit run 1.9
siren signal 8.2
medicine profession 6.92
broth soup 7.83
rectangle shape 9.75
group legion 3.33
dove bird 9.87
person citizen 5.17
human man 3.08
empire state 4.17
science math 1.83
six number 10.0
